"p_cens","tempo_anos","n","vicio_medio_xgboost","vicio_medio_rsf","eqm_xgboost","eqm_rsf"
0.25,3,500,0.108,-0.003,2.365,0.23
0.25,3,1000,0.107,-0.001,4.321,0.166
0.25,3,2500,0.108,-0.001,10.442,0.216
0.25,3,5000,0.107,0.001,20.275,0.24
0.25,5,500,0.197,0.006,6.431,0.173
0.25,5,1000,0.2,0.001,12.863,0.229
0.25,5,2500,0.201,0.002,31.953,0.228
0.25,5,5000,0.202,-0.001,64.589,0.248
0.4,3,500,0.116,-0.002,2.381,0.188
0.4,3,1000,0.118,-0.003,4.635,0.223
0.4,3,2500,0.115,0.001,10.919,0.19
0.4,3,5000,0.114,0.001,21.779,0.18
0.4,5,500,0.211,0.002,6.734,0.206
0.4,5,1000,0.213,0,13.451,0.21
0.4,5,2500,0.215,-0.001,34.289,0.173
0.4,5,5000,0.214,-0.002,68.314,0.176
0.5,3,500,0.126,0.007,2.452,0.201
0.5,3,1000,0.131,0.002,5.215,0.263
0.5,3,2500,0.131,0.001,13.121,0.263
0.5,3,5000,0.131,-0.001,26.215,0.234
0.5,5,500,0.237,0.001,7.515,0.209
0.5,5,1000,0.239,-0.002,15.604,0.262
0.5,5,2500,0.24,-0.002,38.769,0.185
0.5,5,5000,0.239,0,76.347,0.221
0.6,3,500,0.183,0.007,4.077,0.227
0.6,3,1000,0.185,0.001,8.329,0.265
0.6,3,2500,0.187,0.001,20.911,0.196
0.6,3,5000,0.188,-0.002,41.916,0.267
0.6,5,500,0.339,-0.003,9.697,0.348
0.6,5,1000,0.329,0.001,19.432,0.312
0.6,5,2500,0.329,0.003,48.179,0.328
0.6,5,5000,0.332,-0.001,97.551,0.279
0.7,3,500,0.361,0.031,6.224,0.598
0.7,3,1000,0.384,0.036,13.693,0.909
0.7,3,2500,0.396,0.034,36.787,1.557
0.7,3,5000,0.396,0.03,74.092,2.63
0.7,5,500,0.441,0.087,8.63,1.726
0.7,5,1000,0.451,0.085,18.737,2.811
0.7,5,2500,0.456,0.084,47.651,6.443
0.7,5,5000,0.458,0.084,95.338,12.521
